BOM,CF,cnc,shift_output,stand1,stand2,stand3,stand4
42111303,0745A-1100kg,,12,3,2,4,2
42111303,0745A-1100kg,2#,11,3,2,4,2
72996311,0765-10kg,,56,13,17,12,14
72996313,0765-50kg,,56,13,17,12,14
72996310,0765-5kg,,56,13,17,12,14
72996314,0765D-30kg,,56,13,17,12,14
72999763,0785-100kg,,56,13,17,12,14
72999760,0785-10kg,,56,13,17,12,14
72999761,0785-20kg,,56,13,17,12,14
72999762,0785-50kg,,56,13,17,12,14
72996428,0785D-30kg,,56,13,17,12,14
72999763,0785-100kg,13#,44,12,9,13,10
72999760,0785-10kg,13#,44,12,9,13,10
72999761,0785-20kg,13#,44,12,9,13,10
72999762,0785-50kg,13#,44,12,9,13,10
72996428,0785D-30kg,13#,44,12,9,13,10
72999406,0795-100kg,,48,12,14,10,12
72999407,0795-200kg,,48,12,14,10,12
72996326,0805-100kg,,18,4,6,3,5
72996327,0805-250kg,,18,4,6,3,5
72996328,0805-500kg,,18,4,6,3,5
72995694,AEG-22.5kg,,144,37,42,30,35
72186989,AMI-11kg,,80,20,16,24,20
142735,AMI-11kg-old,,80,20,16,24,20
72256457,AMI-15kg,,80,20,16,24,20
72185024,AMI-22kg,,80,20,16,24,20
72256458,AMI-30kg,,80,20,16,24,20
72185026,AMI-3kg,,80,20,16,24,20
72185023,AMI-40kg,,80,20,16,24,20
72185025,AMI-5kg,,80,20,16,24,20
72244688,AMI-6.5kg,,80,20,16,24,20
72995811,BEG-100kg,,56,15,12,16,13
72995809,BEG-22kg,,56,15,12,16,13
72995810,BEG-45kg,,56,15,12,16,13
42700263,CKOR-30kg,,56,15,12,16,13
42700275,CKOR-50kg,,56,15,12,16,13
42700263,CKOR-30kg,13#,44,12,9,13,10
42700275,CKOR-50kg,13#,44,12,9,13,10
173681,GD-200t,,10,2,3,2,3
181018,GD-250t,,10,2,3,2,3
72239212,GDD15-20t,,35,9,11,7,8
72239211,GDD-30t,,40,10,9,11,10
72239210,GDD-50t,,40,10,9,11,10
175699,GDN-30t,,15,3,5,3,4
72216944,MT1022-10kg,,80,20,16,24,20
72216945,MT1022-15kg,,80,20,16,24,20
72216946,MT1022-20kg,,80,20,16,24,20
72244687,MT1022-3.5kg,,64,16,19,14,15
72216947,MT1022-30kg,,80,20,16,24,20
72216941,MT1022-3kg,,64,16,19,14,15
30280531,MT1022-3kg-HR,,64,16,19,14,15
72216942,MT1022-5kg,,64,16,19,14,15
72216943,MT1022-7kg,,64,16,19,14,15
72216968,MT1041-100kg,,42,11,12,9,10
72216962,MT1041-10kg,,42,11,12,9,10
72216963,MT1041-15kg,,42,11,12,9,10
72216964,MT1041-20kg,,42,11,12,9,10
72216965,MT1041-30kg,,42,11,12,9,10
72216966,MT1041-50kg,,42,11,12,9,10
72216977,MT1241-100kg,,72,19,16,20,17
72216978,MT1241-150kg,,72,19,16,20,17
72216979,MT1241-200kg,,72,19,16,20,17
72216980,MT1241-250kg,,72,19,16,20,17
72216975,MT1241-30kg,,72,19,16,20,17
72216976,MT1241-50kg,,72,19,16,20,17
72216983,MT1260-100kg,,30,8,6,9,7
72216984,MT1260-150kg,,30,8,6,9,7
72216985,MT1260-200kg,,30,8,6,9,7
72216986,MT1260-250kg,,30,8,6,9,7
72216987,MT1260-300kg,,30,8,6,9,7
72216988,MT1260-500kg,,30,8,6,9,7
72216981,MT1260-50kg,,30,8,6,9,7
72216990,MT1260-750kg,,30,8,6,9,7
72216982,MT1260-75kg,,30,8,6,9,7
129958,MTB-100kg,,11,3,2,4,2
156816,MTB-10kg,,11,3,2,4,2
129959,MTB-200kg,,11,3,2,4,2
132101,MTB-20kg,,11,3,2,4,2
134395,MTB-300kg,,11,3,2,4,2
72192120,MTB-30kg,,11,3,2,4,2
156820,MTB-500kg,,11,3,2,4,2
129957,MTB-50kg,,11,3,2,4,2
174798,MTB-5kg,,11,3,2,4,2
174759,MTB-75kg,,11,3,2,4,2
30309460,NOVA-500g,,4,1,1,1,1
30309369,NOVA-5kg,,3,1,1,0,1
72995967,PC-22.5t,,30,8,6,9,7
72995964,PC-45t,,40,11,12,7,10
72997185,PC-50t,,40,11,12,7,10
42904578,PDX-30t,,40,10,9,11,10
42904579,PDX-50t,,40,10,9,11,10
72238119,PDX-90t,,13,3,4,2,4
72999196,SBK-10K,,4,1,1,1,1
72999653,SBK-16K,,4,1,1,1,1
72995410,SBK-1K,,4,1,1,1,1
72995869,SBK-20K,,3,1,1,0,1
72995854,SBK-30K,,3,1,1,0,1
72995404,SBK-3K,,4,1,1,1,1
72995888,SBK-45K,,3,1,1,0,1
72995398,SBK-5K,,4,1,1,1,1
30252108,SCOUT-2200g,,128,64,0,64,0
160333,SCOUT-200g,,128,64,0,64,0
160340,SCOUT-4000g,,128,64,0,64,0
160339,SCOUT-400g,,128,64,0,64,0
72195447,SCOUT-6000g,,128,64,0,64,0
72195446,SCOUT-600g,,128,64,0,64,0
30076030,SLB215-1100kg,,11,3,2,4,2
30076031,SLB215-2200kg,,11,3,2,4,2
30076008,SLB215-220kg,,10,2,3,2,3
30076032,SLB215-4400kg,,9,2,3,2,2
30076009,SLB215-550kg,,11,3,2,4,2
72261159,SLB615D-1100kg,,9,2,3,2,2
72261160,SLB615D-2200kg,,8,2,3,1,2
72261157,SLB615D-220kg,,8,2,3,1,2
72261161,SLB615D-4400kg,,7,1,3,2,1
72261158,SLB615D-550kg,,9,2,3,2,2
30373342,SLB615D-550kg-M12,,9,2,3,2,2
30245632,SLB815-1100kg,,6,1,2,1,2
30245627,SLB815-550kg,,6,1,2,1,2
30365247,SLC611-10t,,9,2,3,2,2
30365248,SLC611-15t,,9,2,3,2,2
30365249,SLC611-22.5t,,9,2,3,2,2
30365246,SLC611-7.5t,,9,2,3,2,2
30058043,SLC611-5t,,9,2,3,2,2
30014061,SLP330DE-10kg,,56,13,17,12,14
30028072,SLP330DE-30kg,,56,13,17,12,14
30028073,SLP330DE-50kg,,56,13,17,12,14
30014060,SLP330DE-5kg,,56,13,17,12,14
72261889,SLP331DI-100kg,,48,12,14,10,12
72261887,SLP331DI-22kg,,48,12,14,10,12
72261888,SLP331DI-50kg,,48,12,14,10,12
72261890,SLP332DI-100kg,,48,12,14,10,12
72244386,SLP845-50kg,,16,4,5,3,4
30219426,SLP850D/852D-10kg-B,,2,1,0,1,0
30219428,SLP850D/852D-20kg-B,,2,1,0,1,0
30219427,SLP854D-10kg-B,,2,1,0,1,0
30219429,SLP854D-20kg-B,,2,1,0,1,0
42101182,Viking-1500g,,42,11,12,9,10
42904703,Viking-150g,,42,11,12,9,10
42101185,Viking-8000g,,42,11,12,9,10
