小区,行政区,觅渡桥小学,二十四中,局前街小学,实验小学,解放路小学,博爱小学,
宝龙广场,钟楼,0,0,0,0,0,0,
世茂香槟湖,新北,0,0,0,0,0,0,
南湖家苑,武进,0,0,0,0,0,0,
绿地世纪城,钟楼,0,0,0,0,0,0,
中央花园,新北,0,0,0,0,0,0,
星河国际,武进,0,0,0,0,0,0,
翠竹新村,天宁,0,0,0,0,0,0,
丽华一村,天宁,0,0,0,0,0,0,
凤凰名城,新北,0,0,0,0,0,0,
高成天鹅湖,天宁,0,0,0,0,0,0,
金色新城,钟楼,0,0,0,0,0,0,
华润国际社区,天宁,0,0,0,0,0,0,
公园壹号花园,戚墅堰,0,0,0,0,0,0,
典雅花园,新北,0,0,0,0,0,0,
银河湾第一城,新北,0,0,0,0,0,0,
九洲花园,新北,0,0,0,0,0,0,
南河花园小区,武进,0,0,0,0,0,0,
怡康花园,天宁,0,0,0,0,0,1,
天山花园,钟楼,0,0,0,0,0,0,
滨江明珠城,新北,0,0,0,0,0,0,
百草苑,新北,0,0,0,0,0,0,
水晶城,天宁,0,0,0,0,0,0,
彩虹城,天宁,0,0,0,0,0,1,
怀德苑,钟楼,0,0,0,0,0,0,
学府东苑,武进,0,0,0,0,0,0,
紫禁城小区,武进,0,0,0,0,0,0,
凯旋城,天宁,0,0,0,0,0,0,
玉龙湾花园,新北,0,0,0,0,0,0,
天隽峰,武进,0,0,0,0,0,0,
阳湖名城,武进,0,0,0,0,0,0,
香江华廷花园,钟楼,0,0,0,0,0,0,
藻江花园,新北,0,0,0,0,0,0,
百馨西苑,新北,0,0,0,0,0,0,
中意宝第,钟楼,0,0,0,0,0,0,
陈渡新苑,钟楼,0,0,0,0,0,0,
前桥小区,新北,0,0,0,0,0,0,
丽华二村,天宁,0,0,0,0,0,0,
常信怀德名园,新北,0,0,0,0,0,0,
清潭新村,钟楼,0,0,0,0,0,0,
中天名园,武进,0,0,0,0,0,0,
